codec,uncompressed_size,compressed_size,compression_ratio,compression_time_s,compression_max_RSS_kB,decompression_time_s,decompression_max_RSS_kB,filename,stream_id,test_set,compression_speed_MiB/s,decompression_speed_MiB/s,compression_rank,compression_speed_rank,decompression_speed_rank
gzip,2080283,202817,0.097494908144709,0.76,1772,0.03,1680,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditLen,EditLen,1,2.610411142,6.447378794,4,4,2
bzip2,2080283,187581,0.090170904631726,0.12,7744,0.11,5080,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditLen,EditLen,1,16.5326039,1.626283472,2,3,6
xz,2080283,182832,0.087888042155803,1.22,87620,0.08,4720,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditLen,EditLen,1,1.626157761,2.179527283,1,5,4
rANS-0,2080283,484542,0.232921193895254,0.06,3400,0.05,3764,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditLen,EditLen,1,33.0652078,9.241905212,6,1,1
rANS-1,2080283,211462,0.101650592731854,0.06,3052,0.09,4852,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditLen,EditLen,1,33.0652078,2.240731981,5,1,3
GABAC,2080283,196584,0.09449868118905,0.08,38496,0.11,38676,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditLen,EditLen,1,24.79890585,1.70433738,3,2,5
gzip,209715200,203614,0.000970907211304,2.11,1784,3.04,1596,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagRG^.cropped,TagRG^,1,94.78672986,0.063875474,6,1,1
bzip2,209715200,177,8.44001770019531E-07,2.75,9604,2.71,5780,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagRG^.cropped,TagRG^,1,72.72727273,6.23E-05,2,3,5
xz,209715200,30644,0.00014612197876,12.31,691176,0.77,67784,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagRG^.cropped,TagRG^,1,16.2469537,0.037953761,5,6,2
rANS-0,209715200,14600,6.96182250976562E-05,2.67,2588,3.79,3436,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagRG^.cropped,TagRG^,1,74.90636704,0.003673785,3,2,3
rANS-1,209715200,15000,7.15255737304687E-05,3.23,2576,4.34,4368,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagRG^.cropped,TagRG^,1,61.91950464,0.003296109,4,5,4
GABAC,209715200,36,1.71661376953125E-07,3.12,619292,6.46,678216,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagRG^.cropped,TagRG^,1,64.1025641,5.31E-06,1,4,7
gzip,209715200,203614,0.000970907211304,2.17,1756,3.02,1536,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagPG^.cropped,TagPG^,1,92.16589862,0.064298491,6,2,1
bzip2,209715200,177,8.44001770019531E-07,2.36,9708,2.71,5680,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagPG^.cropped,TagPG^,1,84.74576271,6.23E-05,2,3,5
xz,209715200,30644,0.00014612197876,22.7,691216,0.76,67776,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagPG^.cropped,TagPG^,1,8.810572687,0.038453152,5,6,2
rANS-0,209715200,14600,6.96182250976562E-05,2.73,2528,3.75,3244,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagPG^.cropped,TagPG^,1,73.26007326,0.003712972,3,4,3
rANS-1,209715200,15000,7.15255737304687E-05,3.26,2584,4.15,4420,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagPG^.cropped,TagPG^,1,61.34969325,0.003447016,4,5,4
GABAC,209715200,36,1.71661376953125E-07,1.99,619156,5.16,678720,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagPG^.cropped,TagPG^,1,100.5025126,6.65E-06,1,1,6
gzip,209715200,91902272,0.438224182128906,61.41,1804,3.97,1732,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.quality.cropped,quality,1,3.256798567,22.07678499,5,5,1
bzip2,209715200,80604419,0.38435182094574,24.1,9800,13.85,7036,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.quality.cropped,quality,1,8.298755187,5.550206801,3,4,7
xz,209715200,80602824,0.384344215393066,319.25,691444,7.9,67792,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.quality.cropped,quality,1,0.626468285,9.730233301,2,6,4
rANS-0,209715200,106425863,0.507478060722351,4.62,4584,5.97,4840,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.quality.cropped,quality,1,43.29004329,17.00094006,6,1,2
rANS-1,209715200,78332114,0.373516626358032,5.52,4516,6.16,5864,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.quality.cropped,quality,1,36.23188406,12.12716319,1,2,3
GABAC,209715200,84511608,0.402982749938965,16.08,1002352,11.34,1028396,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.quality.cropped,quality,1,12.43781095,7.10727954,4,3,6
gzip,34429632,7965901,0.231367590568496,23.54,1736,0.59,1608,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedDiff,pairedDiff,1,1.39484519,12.87605965,4,4,2
bzip2,34429632,6808750,0.197758430877216,2.29,9784,1.44,6728,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedDiff,pairedDiff,1,14.33827763,4.509256946,2,3,5
xz,34429632,6295776,0.18285923009575,30.6,374616,0.91,36716,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedDiff,pairedDiff,1,1.073027966,6.597933926,1,5,4
rANS-0,34429632,10857583,0.315355766799947,0.7,4652,0.79,4628,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedDiff,pairedDiff,1,46.90665109,13.10708613,6,1,1
rANS-1,34429632,9274725,0.269382054388499,0.92,5592,0.9,6076,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedDiff,pairedDiff,1,35.68984322,9.827852249,5,2,3
GABAC,34429632,7211879,0.209467211267318,47.19,389400,10.04,645124,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedDiff,pairedDiff,1,0.695796901,0.685038225,3,6,7
