codec,uncompressed_size,compressed_size,compression_ratio,compression_time_s,compression_max_RSS_kB,decompression_time_s,decompression_max_RSS_kB,filename,stream_id,test_set,compression_speed_MiB/s,decompression_speed_MiB/s,compression_rank,compression_speed_rank,decompression_speed_rank
rANS-1,90162026,23077748,0.255958622757656,2,4036,2.19,5676,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SC,DS_SC,1,42.99260426,10.04961441,5,2,3
GABAC,90162026,20939759,0.232245879213051,253.86,908008,14.9,1261484,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SC,DS_SC,1,0.338711134,1.340249017,4,6,7
gzip,94689619,31575804,0.333466375020476,69.19,1872,2.17,1596,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_AP,DS_AP,1,1.305146086,13.87697387,6,5,1
bzip2,94689619,31260586,0.330137414535378,11.44,10196,6.32,6968,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_AP,DS_AP,1,7.893623922,4.717154744,5,4,5
xz,94689619,28899632,0.305203804864818,132.54,686124,3.03,67844,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_AP,DS_AP,1,0.681326827,9.09598574,4,6,4
rANS-0,94689619,26670585,0.281663241247174,2.09,4216,2.2,4520,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_AP,DS_AP,1,43.20720463,11.56138724,2,1,2
rANS-1,94689619,26569364,0.280594264509608,2.32,4424,2.34,5732,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_AP,DS_AP,1,38.92373175,10.82842737,1,2,3
GABAC,94689619,26813430,0.283171801546693,5.63,1484752,7.71,1511276,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_AP,DS_AP,1,16.03961948,3.316638071,3,3,7
gzip,75662440,54573073,0.721270329109133,8.95,1748,1.88,1596,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NF,DS_NF,1,8.062271033,27.68347771,6,3,1
bzip2,75662440,45265803,0.598259889583259,10.19,9788,6.05,6880,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NF,DS_NF,1,7.081189965,7.135344419,1,4,5
xz,75662440,48755636,0.644383606978575,87.7,667220,5.91,67768,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NF,DS_NF,1,0.822774524,7.867512324,4,6,4
rANS-0,75662440,52798866,0.697821349668343,2.71,4752,1.95,4864,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NF,DS_NF,1,26.62631946,25.82201151,5,2,2
rANS-1,75662440,46189849,0.610472633449305,2.52,6008,2.95,6200,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NF,DS_NF,1,28.63385942,14.93222802,2,1,3
GABAC,75662440,48214609,0.637233070992688,65.22,1645328,35.5,1692728,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NF,DS_NF,1,1.106368073,1.295240402,3,5,7
gzip,94149670,4845611,0.051467105514018,14.06,1676,12.29,1604,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MQ,DS_MQ,1,6.386068434,0.37600771,5,5,6
bzip2,94149670,4441131,0.047170967248212,1.91,9864,5.98,6884,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MQ,DS_MQ,1,47.00948805,0.708259627,3,2,4
xz,94149670,4300356,0.045675741614389,17.72,684552,4.75,67840,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MQ,DS_MQ,1,5.067049784,0.863397699,2,6,3
rANS-0,94149670,7117711,0.075599956962143,1.64,4616,1.87,4792,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MQ,DS_MQ,1,54.74885499,3.629934851,6,1,1
rANS-1,94149670,4709116,0.050017339412873,1.97,4648,4.78,5456,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MQ,DS_MQ,1,45.57772699,0.939532005,4,3,2
GABAC,94149670,4096684,0.043512462656534,12.04,1791236,12.01,1794116,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MQ,DS_MQ,1,7.457485231,0.325304106,1,4,7
gzip,1209128,119157,0.09854787913273,0.55,1876,0.02,1732,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_DL,DS_DL,1,2.096571489,5.681848526,5,5,1
bzip2,1209128,111307,0.092055597091458,0.06,8532,0.05,3980,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_DL,DS_DL,1,19.21857198,2.123012543,2,3,4
xz,1209128,107212,0.088668858880119,0.68,82724,0.07,4668,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_DL,DS_DL,1,1.695756351,1.460647583,1,6,6
rANS-0,1209128,272058,0.225003473577653,0.02,2892,0.06,2748,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_DL,DS_DL,1,57.65571594,4.324245453,6,1,2
rANS-1,1209128,117600,0.097260174274353,0.04,2876,0.04,3612,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_DL,DS_DL,1,28.82785797,2.80380249,4,2,3
GABAC,1209128,113017,0.093469839421467,0.07,23876,0.07,24272,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_DL,DS_DL,1,16.4730617,1.539734432,3,4,5
gzip,94759522,24899936,0.262769750991357,98.09,1756,1.67,1600,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_ASC,DS_ASC,1,0.921293938,14.21941883,6,5,1
bzip2,94759522,23988568,0.253152057900841,6.75,9780,5.12,6992,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_ASC,DS_ASC,1,13.38810702,4.468218982,5,3,4
xz,94759522,21879992,0.230900193861256,127.95,686356,4.33,67852,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_ASC,DS_ASC,1,0.70628935,4.819026885,3,6,2
rANS-0,94759522,23778218,0.25093222821449,3.54,4748,5.04,4980,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_ASC,DS_ASC,1,25.52817016,4.499340436,4,2,3
rANS-1,94759522,21749687,0.229525081394986,2.3,4840,5.92,5804,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_ASC,DS_ASC,1,39.29118364,3.503736129,2,1,5
GABAC,94759522,20843335,0.219960322298798,8.49,1794532,18.29,1849320,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_ASC,DS_ASC,1,10.6442547,1.08680991,1,4,7
gzip,209715200,89283917,0.425738892555237,63.42,1780,3.92,1648,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_QS.cropped,DS_QS,1,3.153579313,21.72137207,5,5,1
bzip2,209715200,80363714,0.383204050064087,21.73,9996,12.69,6992,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_QS.cropped,DS_QS,1,9.203865624,6.039464934,3,4,6
xz,209715200,78659184,0.375076217651367,281.41,691564,8.06,67828,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_QS.cropped,DS_QS,1,0.710706798,9.307102175,2,6,4
rANS-0,209715200,107020350,0.510312795639038,4.56,4632,4.75,4928,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_QS.cropped,DS_QS,1,43.85964912,21.48685455,6,1,2
rANS-1,209715200,75438395,0.359718298912048,5.39,4528,5.78,5912,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_QS.cropped,DS_QS,1,37.10575139,12.44699996,1,2,3
