encoded_length,current_encoded_length,best_encoded_length,encoded_ratio,current_encoded_ratio,best_encoded_ratio,encoding_time,total_encoding_time
429154.0,429154.0,147354.0,0.5104115128449096,0.5104115128449096,0.1752545195052331,0.056467533111572266,3.7167491912841797
450251.0,429154.0,147354.0,0.5355030922930543,0.5104115128449096,0.1752545195052331,0.056452274322509766,3.7732014656066895
300853.0,300853.0,147354.0,0.3578175547098002,0.3578175547098002,0.1752545195052331,0.03943324089050293,3.8126347064971924
277709.0,277709.0,147354.0,0.33029138915318745,0.33029138915318745,0.1752545195052331,0.03932642936706543,3.851961135864258
277709.0,277709.0,147354.0,0.33029138915318745,0.33029138915318745,0.1752545195052331,0.0392155647277832,3.891176700592041
203900.0,203900.0,147354.0,0.24250713606089438,0.24250713606089438,0.1752545195052331,0.039765357971191406,3.9309420585632324
123642.0,123642.0,123642.0,0.14705280685061844,0.14705280685061844,0.14705280685061844,0.03612971305847168,3.967071771621704
203900.0,203900.0,123642.0,0.24250713606089438,0.24250713606089438,0.14705280685061844,0.04042935371398926,4.007501125335693
203940.0,203940.0,123642.0,0.24255470980019028,0.24255470980019028,0.14705280685061844,0.04074668884277344,4.048247814178467
203940.0,203940.0,123642.0,0.24255470980019028,0.24255470980019028,0.14705280685061844,0.04090118408203125,4.089148998260498
204024.0,204024.0,123642.0,0.2426546146527117,0.2426546146527117,0.14705280685061844,0.036295413970947266,4.125444412231445
204257.0,204257.0,123642.0,0.24293173168411036,0.24293173168411036,0.14705280685061844,0.04063057899475098,4.166074991226196
204218.0,204218.0,123642.0,0.24288534728829686,0.24288534728829686,0.14705280685061844,0.039725303649902344,4.205800294876099
123933.0,123933.0,123642.0,0.1473989058039962,0.1473989058039962,0.14705280685061844,0.03594231605529785,4.2417426109313965
123848.0,123848.0,123642.0,0.14729781160799238,0.14729781160799238,0.14705280685061844,0.040549278259277344,4.282291889190674
287108.0,123848.0,123642.0,0.3414700285442436,0.14729781160799238,0.14705280685061844,0.05275464057922363,4.3350465297698975
287108.0,123848.0,123642.0,0.3414700285442436,0.14729781160799238,0.14705280685061844,0.05279874801635742,4.387845277786255
124781.0,124781.0,123642.0,0.14840746907706945,0.14840746907706945,0.14705280685061844,0.045656442642211914,4.433501720428467
